date,실제,예상,변동,Actual State
1982-09-28,10.25,,0.0,neutral
1982-10-02,10.0,,-0.25,neutral
1982-10-08,9.5,,-0.5,neutral
1982-11-20,9.0,,-0.5,neutral
1982-12-15,8.5,,-0.5,neutral
1983-04-01,8.625,,0.125,neutral
1983-05-26,8.75,,0.125,neutral
1983-06-25,9.0,,0.25,neutral
1983-07-15,9.25,,0.25,neutral
1983-07-21,9.438,,0.1880000000000006,neutral
1983-08-12,9.563,,0.125,neutral
1983-08-18,9.5,,-0.06300000000000061,neutral
1983-09-16,9.375,,-0.125,neutral
1984-03-30,10.5,,1.125,neutral
1984-07-06,11.0,,0.5,neutral
1984-07-20,11.25,,0.25,neutral
1984-08-10,11.5,,0.25,neutral
1984-09-21,11.25,,-0.25,neutral
1984-09-28,11.0,,-0.25,neutral
1984-10-12,10.5,,-0.5,neutral
1984-10-19,10.0,,-0.5,neutral
1984-11-09,9.5,,-0.5,neutral
1984-11-24,9.0,,-0.5,neutral
1984-12-07,8.75,,-0.25,neutral
1984-12-20,8.5,,-0.25,neutral
1984-12-25,8.125,,-0.375,neutral
1985-01-25,8.25,,0.125,neutral
1985-02-15,8.375,,0.125,neutral
1985-03-29,8.5,,0.125,neutral
1985-04-26,8.25,,-0.25,neutral
1985-05-21,7.75,,-0.5,neutral
1985-07-12,7.688,,-0.06200000000000028,neutral
1985-07-26,7.75,,0.06200000000000028,neutral
1985-08-22,7.813,,0.06299999999999972,neutral
1985-09-07,8.0,,0.18700000000000028,neutral
1985-12-19,7.75,,-0.25,neutral
1986-03-08,7.25,,-0.5,neutral
1986-04-03,7.313,,0.06299999999999972,neutral
1986-04-22,6.75,,-0.5629999999999997,neutral
1986-05-23,6.813,,0.06299999999999972,neutral
1986-06-06,6.875,,0.06200000000000028,neutral
1986-07-12,6.375,,-0.5,neutral
1986-08-22,5.875,,-0.5,neutral
1987-01-06,6.0,,0.125,neutral
1987-05-01,6.5,,0.5,neutral
1987-05-23,6.75,,0.25,neutral
1987-07-03,6.625,,-0.125,neutral
1987-08-28,6.75,,0.125,neutral
1987-09-04,6.875,,0.125,neutral
1987-09-05,7.25,,0.375,neutral
1987-09-25,7.313,,0.06299999999999972,neutral
1987-11-05,6.813,,-0.5,neutral
1988-01-29,6.625,,-0.18799999999999972,neutral
1988-02-12,6.5,,-0.125,neutral
1988-03-31,6.75,,0.25,neutral
