date,Open,High,Low,Close,Adj_Close,Volume
1985-01-01,7.83,8.05,7.62,8.05,8.05,
1985-02-01,8.19,8.5,8.12,8.5,8.5,
1985-03-01,8.66,8.8,8.18,8.18,8.18,
1985-04-01,8.15,8.22,7.67,7.85,7.85,
1985-05-01,7.75,7.82,7.14,7.14,7.14,
1985-06-01,7.02,7.23,6.66,6.83,6.83,
1985-07-01,6.87,7.28,6.77,7.28,7.28,
1985-08-01,7.27,7.31,7.03,7.14,7.14,
1985-09-01,7.11,7.26,6.84,7.04,7.04,
1985-10-01,7.03,7.25,6.98,7.19,7.19,
1985-11-01,7.2,7.35,7.16,7.16,7.16,
1985-12-01,7.26,7.26,6.94,7.05,7.05,
1986-01-01,7.1,7.24,6.92,6.97,6.97,
1986-02-01,7.0,7.21,6.98,7.02,7.02,
1986-03-01,6.97,6.97,6.34,6.34,6.34,
1986-04-01,6.33,6.34,5.77,6.1,6.1,
1986-05-01,6.11,6.3,6.04,6.3,6.3,
1986-06-01,6.36,6.52,5.96,5.96,5.96,
1986-07-01,5.99,6.0,5.71,5.79,5.79,
1986-08-01,5.77,5.77,5.17,5.17,5.17,
1986-09-01,5.19,5.26,5.12,5.2,5.2,
1986-10-01,5.19,5.31,5.04,5.2,5.2,
1986-11-01,5.21,5.42,5.21,5.39,5.39,
1986-12-01,5.42,5.69,5.4,5.67,5.67,
1987-01-01,5.55,5.6,5.3,5.6,5.6,
1987-02-01,5.61,5.86,5.43,5.45,5.45,
1987-03-01,5.48,5.69,5.48,5.61,5.61,
1987-04-01,5.54,6.02,5.42,5.53,5.53,
1987-05-01,5.6,5.95,5.5,5.68,5.68,
1987-06-01,5.7,5.84,5.48,5.73,5.73,
1987-07-01,5.64,6.07,5.55,6.07,6.07,
1987-08-01,6.05,6.31,5.74,6.25,6.25,
1987-09-01,6.12,6.69,6.09,6.61,6.61,
1987-10-01,6.63,7.19,5.03,5.27,5.27,
1987-11-01,5.62,5.91,5.21,5.21,5.21,
1987-12-01,5.55,5.94,5.36,5.68,5.68,
1988-01-01,5.88,5.96,5.64,5.64,5.64,
1988-02-01,5.66,5.75,5.59,5.62,5.62,
1988-03-01,5.62,5.83,5.6,5.71,5.71,
1988-04-01,5.85,6.05,5.74,5.98,5.98,
1988-05-01,6.08,6.44,6.08,6.43,6.43,
1988-06-01,6.47,6.6,6.29,6.56,6.56,
1988-07-01,6.55,7.0,6.53,6.95,6.95,
1988-08-01,6.91,7.33,6.84,7.3,7.3,
1988-09-01,7.28,7.34,7.13,7.25,7.25,
1988-10-01,7.24,7.51,7.22,7.36,7.36,
1988-11-01,7.34,8.03,7.34,7.83,7.83,
1988-12-01,7.85,8.26,7.85,8.1,8.1,
1989-01-01,8.14,8.39,8.14,8.39,8.39,
1989-02-01,8.37,8.71,8.37,8.71,8.71,
1989-03-01,8.66,9.1,8.57,8.9,8.9,
1989-04-01,8.82,8.84,8.41,8.41,8.41,
1989-05-01,8.62,8.62,8.21,8.61,8.61,
1989-06-01,8.61,8.61,7.95,7.99,7.99,
1989-07-01,7.97,8.12,7.73,7.8,7.8,
1989-08-01,7.63,8.06,7.63,7.89,7.89,
1989-09-01,7.86,7.91,7.53,7.91,7.91,
1989-10-01,7.89,7.89,7.43,7.77,7.77,
1989-11-01,7.78,7.87,7.51,7.59,7.59,
1989-12-01,7.53,7.76,7.53,7.55,7.55,
1990-01-01,7.58,7.78,7.5,7.74,7.74,
1990-02-01,7.76,7.82,7.58,7.77,7.77,
1990-03-01,7.81,7.99,7.76,7.8,7.8,
1990-04-01,7.78,7.82,7.69,7.79,7.79,
1990-05-01,7.92,7.92,7.62,7.75,7.75,
1990-06-01,7.68,7.8,7.66,7.74,7.74,
1990-07-01,7.74,7.8,7.48,7.49,7.49,
1990-08-01,7.42,7.59,7.29,7.39,7.39,
1990-09-01,7.39,7.43,7.14,7.14,7.14,
1990-10-01,7.13,7.25,7.04,7.11,7.11,
1990-11-01,7.05,7.1,7.02,7.02,7.02,
1990-12-01,7.05,7.05,6.44,6.44,6.44,
1991-01-01,6.46,6.53,6.04,6.19,6.19,
1991-02-01,6.0,6.04,5.85,6.04,6.04,
